id,"datetime",lat,lon,"train_number","next_station","delay","vehicle_type","vehicle_type_abbr","destination"
184732,"1537537714000",52.1260121667,5.1890805,"11760","Utrecht Centraal","PT0S","Intercity","IC","Den Haag Centraal"
184733,"1537537717000",52.1633266667,5.50024,"1562","Amersfoort","PT5M","Intercity","IC","Amsterdam Centraal"
184734,"1537537713000",52.080115592,4.3253595157012,"6354","Voorschoten","PT0S","Sprinter","SPR","Haarlem"
184735,"1537537712000",52.2578925,5.16596766667,"1563","Hilversum","PT10M","Intercity","IC","Deventer"
184736,"1537537711000",51.30433,5.63029333333,"3959","Weert","PT0S","Intercity","IC","Heerlen"
184738,"1537537713000",52.2092713333,5.96785633333,"1661","Deventer","PT0S","Intercity","IC","Enschede"
184739,"1537537715000",51.6821956667,5.2909235,"3662","'s-Hertogenbosch","PT0S","Intercity","IC","Zwolle"
184740,"1537537711000",52.3168605,5.09915516667,"2471","Duivendrecht","PT0S","Intercity","IC","Dordrecht"
184741,"1537537714000",52.043757043531,4.3139936739526,"5067","Rotterdam Centraal","PT0S","Sprinter","SPR","Dordrecht"
184742,"1537537716000",51.871058639186,5.3857281655151,"6061","Tiel Passewaaij","PT0S","Sprinter","SPR","Tiel"
184743,"1537537715000",51.843393778958,4.5739086932723,"5160","Rotterdam Blaak","PT0S","Sprinter","SPR","Den Haag Centraal"
184746,"1537537712000",52.063913394338,5.3714086504369,"7461","Veenendaal Centrum","PT0S","Sprinter","SPR","Rhenen"
184747,"1537537716000",52.2612193333,6.15167016667,"3656","Wijhe","PT0S","Intercity","IC","Zwolle"
184748,"1537537708000",51.881860395508,5.2715814270001,"6963","Zaltbommel","PT0S","Sprinter","SPR","'s-Hertogenbosch"
184749,"1537537711000",52.067528,5.14998,"3160","Utrecht Centraal","PT0S","Intercity","IC","Schiphol Airport"
184750,"1537537708000",52.293015145373,4.6993588868246,"4365","Amsterdam Zuid","PT0S","Sprinter","SPR","Almere Oostvaarders"
184751,"1537537718000",52.0894236667,5.1106645,"658","Utrecht Centraal","PT0S","Intercity","IC","Rotterdam Centraal"
184752,"1537537712000",52.0885568333,5.11018516667,"3563","Deurne","PT0S","Intercity","IC","Venlo"
184753,"1537537709000",52.111479113742,4.4123423773563,"4669","Leiden Centraal","PT0S","Sprinter","SPR","Amsterdam Centraal"
184754,"1537537711000",52.109633,5.07795766667,"3063","Utrecht Centraal","PT0S","Intercity","IC","Nijmegen"
184755,"1537537708000",52.2132011667,5.235561,"1660","Hilversum","PT0S","Intercity","IC","Schiphol Airport"
184756,"1537537713000",51.5950166667,4.779705,"3664","Tilburg","PT0S","Intercity","IC","Zwolle"
184757,"1537537714000",52.027658,5.67346883333,"7561","Ede-Wageningen","PT5M","Sprinter","SPR","Arnhem Centraal"
184758,"1537537709000",52.0671466667,4.64641833333,"8655","Waddinxveen Triangel","PT0S","Sprinter","SPR","Gouda"
184759,"1537537712000",51.9745778333,4.62727616667,"665","Gouda","PT0S","Intercity","IC","Leeuwarden"
184760,"1537537678000",52.23383694946,5.176210150188,"4961","Utrecht Overvecht","PT0S","Sprinter","SPR","Utrecht Centraal"
184762,"1537537708000",51.9344966667,4.39511333333,"2267","Den Haag HS","PT0S","Intercity","IC","Amsterdam Centraal"
184763,"1537537716000",51.9887916667,5.85683,"3162","Ede-Wageningen","PT0S","Intercity","IC","Schiphol Airport"
184764,"1537537706000",52.385477954231,4.7997955967564,"4867","Haarlem","PT0S","Sprinter","SPR","Heerhugowaard"
184765,"1537537716000",52.3749348333,5.21873316667,"2452","Almere Buiten","PT0S","Intercity","IC","Lelystad Centrum"
184766,"1537537711000",52.065172098645,5.2589081247712,"7460","Utrecht Vaartsche Rijn","PT0S","Sprinter","SPR","Uitgeest"
184767,"1537537713000",52.29455,4.70432333333,"2469","Leiden Centraal","PT0S","Intercity","IC","Dordrecht"
184769,"1537537715000",52.378221610583,4.9016878915221,"4067","Duivendrecht","PT0S","Sprinter","SPR","Rotterdam Centraal"
184770,"1537537713000",51.2487793333,5.70020066667,"6468","Heeze","PT0S","Sprinter","SPR","Tilburg Universiteit"
184771,"1537537715000",52.3792338333,4.89880616667,"2171","Amsterdam Sloterdijk","PT0S","Intercity","IC","Den Haag Centraal"
184773,"1537537711000",52.435702298804,4.6331174619112,"4854","Haarlem","PT0S","Sprinter","SPR","Amsterdam Centraal"
184775,"1537537715000",52.4056083333,4.803205,"3056","Zaandam","PT0S","Intercity","IC","Den Helder"
184776,"1537537715000",51.890740993869,4.5221040627009,"5065","Zwijndrecht","PT0S","Sprinter","SPR","Dordrecht"
184777,"1537537712000",51.9258966667,4.47061833333,"2867","Rotterdam Alexander","PT0S","Intercity","IC","Utrecht Centraal"
184780,"1537537417000",52.297595,4.73323833333,"3565","Amsterdam Bijlmer ArenA","PT0S","Intercity","IC","Venlo"
184781,"1537537710000",52.171097327149,4.9905300811746,"4065","Woerden","PT0S","Sprinter","SPR","Rotterdam Centraal"
184785,"1537537710000",51.946818019534,5.2268593770624,"6960","Utrecht Lunetten","PT0S","Sprinter","SPR","Den Haag Centraal"
